Iteration,Timestep,SpeciesID,StateClassID,Value
,,American Marten,Agriculture:All,44
,,American Marten,Forest:Coniferous Medium,100
,,American Marten,Forest:Coniferous Old,100
,,American Marten,Forest:Coniferous Young,50
,,American Marten,Forest:Deciduous Medium,35
,,American Marten,Forest:Deciduous Old,35
,,American Marten,Forest:Deciduous Young,18
,,American Marten,Forest:Mixed Medium,100
,,American Marten,Forest:Mixed Old,100
,,American Marten,Forest:Mixed Young,50
,,American Marten,Road:All,0
,,American Marten,Urban:All,10
,,American Marten,Water:All,5
,,American Marten,Wetland:Forested,44
,,American Marten,Wetland:Open,44
,,American toad,Agriculture:All,59
,,American toad,Forest:Coniferous Medium,60
,,American toad,Forest:Coniferous Old,60
,,American toad,Forest:Coniferous Young,60
,,American toad,Forest:Deciduous Medium,100
,,American toad,Forest:Deciduous Old,100
,,American toad,Forest:Deciduous Young,100
,,American toad,Forest:Mixed Medium,80
,,American toad,Forest:Mixed Old,80
,,American toad,Forest:Mixed Young,80
,,American toad,Road:All,0
,,American toad,Urban:All,50
,,American toad,Urban:All,50
,,American toad,Water:All,59
,,American toad,Wetland:Forested,80
,,American toad,Wetland:Open,80
,,American Woodcock,Agriculture:All,52
,,American Woodcock,Forest:Coniferous Medium,30
,,American Woodcock,Forest:Coniferous Old,30
,,American Woodcock,Forest:Coniferous Young,30
,,American Woodcock,Forest:Deciduous Medium,100
,,American Woodcock,Forest:Deciduous Old,100
,,American Woodcock,Forest:Deciduous Young,100
,,American Woodcock,Forest:Mixed Medium,100
,,American Woodcock,Forest:Mixed Old,100
,,American Woodcock,Forest:Mixed Young,100
,,American Woodcock,Road:All,0
,,American Woodcock,Urban:All,41
,,American Woodcock,Water:All,10
,,American Woodcock,Wetland:Forested,52
,,American Woodcock,Wetland:Open,52
,,Barred Owl,Agriculture:All,52
,,Barred Owl,Forest:Coniferous Medium,27
,,Barred Owl,Forest:Coniferous Old,45
,,Barred Owl,Forest:Coniferous Young,18
,,Barred Owl,Forest:Deciduous Medium,60
,,Barred Owl,Forest:Deciduous Old,100
,,Barred Owl,Forest:Deciduous Young,40
,,Barred Owl,Forest:Mixed Medium,54
,,Barred Owl,Forest:Mixed Old,90
,,Barred Owl,Forest:Mixed Young,36
,,Barred Owl,Road:All,0
,,Barred Owl,Urban:All,41
,,Barred Owl,Water:All,52
,,Barred Owl,Wetland:Forested,58
,,Barred Owl,Wetland:Open,58
,,Black Bear,Agriculture:All,50
,,Black Bear,Forest:Coniferous Medium,60
,,Black Bear,Forest:Coniferous Old,60
,,Black Bear,Forest:Coniferous Young,60
,,Black Bear,Forest:Deciduous Medium,100
,,Black Bear,Forest:Deciduous Old,100
,,Black Bear,Forest:Deciduous Young,100
,,Black Bear,Forest:Mixed Medium,80
,,Black Bear,Forest:Mixed Old,80
,,Black Bear,Forest:Mixed Young,80
,,Black Bear,Road:All,0
,,Black Bear,Urban:All,0
,,Black Bear,Water:All,50
,,Black Bear,Wetland:Forested,70
,,Black Bear,Wetland:Open,70
,,Ovenbird,Agriculture:All,44
,,Ovenbird,Forest:Coniferous Medium,16
,,Ovenbird,Forest:Coniferous Old,20
,,Ovenbird,Forest:Coniferous Young,16
,,Ovenbird,Forest:Deciduous Medium,80
,,Ovenbird,Forest:Deciduous Old,100
,,Ovenbird,Forest:Deciduous Young,80
