StratumID,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,TransitionGroupID
,,,Forest:Coniferous Medium->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Mixed Old,Forest Succession TST
,,,Forest:Coniferous Medium->Forest:Mixed Young,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Mixed Old,Forest Succession TST
,,,Forest:Coniferous Old->Forest:Mixed Young,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Mixed Old,Forest Succession TST
,,,Forest:Coniferous Young->Forest:Mixed Young,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Mixed Old,Forest Succession TST
,,,Forest:Deciduous Medium->Forest:Mixed Young,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Mixed Old,Forest Succession TST
,,,Forest:Deciduous Old->Forest:Mixed Young,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Mixed Old,Forest Succession TST
,,,Forest:Deciduous Young->Forest:Mixed Young,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Mixed Old,Forest Succession TST
,,,Forest:Mixed Medium->Forest:Mixed Young,Forest Succession TST
,,,Forest:Mixed Old->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Mixed Old->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Mixed Old->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Mixed Old->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Mixed Old->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Mixed Old->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Mixed Old->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Mixed Old->Forest:Mixed Young,Forest Succession TST
,,,Forest:Mixed Young->Forest:Coniferous Medium,Forest Succession TST
,,,Forest:Mixed Young->Forest:Coniferous Old,Forest Succession TST
,,,Forest:Mixed Young->Forest:Coniferous Young,Forest Succession TST
,,,Forest:Mixed Young->Forest:Deciduous Medium,Forest Succession TST
,,,Forest:Mixed Young->Forest:Deciduous Old,Forest Succession TST
,,,Forest:Mixed Young->Forest:Deciduous Young,Forest Succession TST
,,,Forest:Mixed Young->Forest:Mixed Medium,Forest Succession TST
,,,Forest:Mixed Young->Forest:Mixed Old,Forest Succession TST
