Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,TransitionGroupID,TransitionMultiplierTypeID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Old->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Coniferous Young->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Medium->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Old->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Deciduous Young->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Mixed Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Medium->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Old->Forest:Mixed Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Coniferous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Coniferous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Coniferous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Deciduous Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Deciduous Old [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Deciduous Young [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Mixed Medium [Type],,0,,,,,
,,,,Non-forest,,,,,,,Forest:Mixed Young->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Agriculture->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Medium->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Old->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Coniferous Young->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Medium->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Old->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Deciduous Young->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Medium->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Forest:Mixed Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Old->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Coniferous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Coniferous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Coniferous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Deciduous Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Deciduous Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Deciduous Young [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Mixed Medium [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Forest:Mixed Old [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Forest:Mixed Young->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Wetland:Forested->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Wetland:Forested->Urban [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Wetland:Open->Agriculture [Type],,0,,,,,
,,NotStudyRegion,,,,,,,,,Wetland:Open->Urban [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],,0.0012,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],,0.0105,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],,0.0002,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],,0.0129,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],,0.0158,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,0.0226,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],,0.002,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],,0.0003,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],,0.022,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Mixed Old [Type],,0.0008,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Mixed Young [Type],,0.0072,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Coniferous Medium [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Deciduous Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Deciduous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Mixed Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Mixed Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Mixed Young [Type],,0.098,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Old [Type],,0.0008,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Young [Type],,0.0052,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Mixed Medium [Type],,0.001,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Mixed Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Mixed Young [Type],,0.0002,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Coniferous Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Coniferous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Deciduous Medium [Type],,0.0471,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Deciduous Young [Type],,0.0116,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Mixed Medium [Type],,0.0009,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Mixed Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Mixed Young [Type],,0.0003,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Coniferous Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Coniferous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Deciduous Medium [Type],,0.0065,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Mixed Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Mixed Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Young->Forest:Mixed Young [Type],,0.0033,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Coniferous Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Coniferous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Deciduous Medium [Type],,0.0063,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Deciduous Young [Type],,0.0009,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Mixed Old [Type],,0.0002,,,,,
,2010,,,18,,,,,,,Forest:Mixed Medium->Forest:Mixed Young [Type],,0.0106,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Coniferous Medium [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Coniferous Old [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Coniferous Young [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Deciduous Medium [Type],,0.0111,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Deciduous Old [Type],,0.0008,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Deciduous Young [Type],,0.0014,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Mixed Medium [Type],,0.051,,,,,
,2010,,,18,,,,,,,Forest:Mixed Old->Forest:Mixed Young [Type],,0.0022,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Coniferous Medium [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Coniferous Young [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Deciduous Medium [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Deciduous Young [Type],,0.0065,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Mixed Medium [Type],,0.0045,,,,,
,2010,,,18,,,,,,,Forest:Mixed Young->Forest:Mixed Old [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],,0.0006,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],,0.012,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],,0.0001,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],,0.0001,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],,0.0146,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],,0.0156,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,0.0191,,,,,
