Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture:All,,Urban:All,,,Agriculture->Urban,1,,,,,,,,
,,,Forest:Coniferous Medium,,Agriculture:All,,,Forest:Coniferous Medium->Agriculture,1,,,,,,,,
,,,Forest:Coniferous Medium,,Forest:Coniferous Old,,,Forest:Coniferous Medium->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Coniferous Young,,,Forest:Coniferous Medium->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Deciduous Medium,,,Forest:Coniferous Medium->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Deciduous Old,,,Forest:Coniferous Medium->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Deciduous Young,,,Forest:Coniferous Medium->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Mixed Medium,,,Forest:Coniferous Medium->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Mixed Old,,,Forest:Coniferous Medium->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Forest:Mixed Young,,,Forest:Coniferous Medium->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Coniferous Medium,,Urban:All,,,Forest:Coniferous Medium->Urban,1,,,,,,,,
,,,Forest:Coniferous Old,,Agriculture:All,,,Forest:Coniferous Old->Agriculture,1,,,,,,,,
,,,Forest:Coniferous Old,,Forest:Coniferous Medium,,,Forest:Coniferous Old->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Coniferous Young,,,Forest:Coniferous Old->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Deciduous Medium,,,Forest:Coniferous Old->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Deciduous Old,,,Forest:Coniferous Old->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Deciduous Young,,,Forest:Coniferous Old->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Mixed Medium,,,Forest:Coniferous Old->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Mixed Old,,,Forest:Coniferous Old->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Coniferous Old,,Forest:Mixed Young,,,Forest:Coniferous Old->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Coniferous Old,,Urban:All,,,Forest:Coniferous Old->Urban,1,,,,,,,,
,,,Forest:Coniferous Young,,Agriculture:All,,,Forest:Coniferous Young->Agriculture,1,,,,,,,,
,,,Forest:Coniferous Young,,Forest:Coniferous Medium,,,Forest:Coniferous Young->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Coniferous Old,,,Forest:Coniferous Young->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Deciduous Medium,,,Forest:Coniferous Young->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Deciduous Old,,,Forest:Coniferous Young->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Deciduous Young,,,Forest:Coniferous Young->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Mixed Medium,,,Forest:Coniferous Young->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Mixed Old,,,Forest:Coniferous Young->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Coniferous Young,,Forest:Mixed Young,,,Forest:Coniferous Young->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Coniferous Young,,Urban:All,,,Forest:Coniferous Young->Urban,1,,,,,,,,
,,,Forest:Deciduous Medium,,Agriculture:All,,,Forest:Deciduous Medium->Agriculture,1,,,,,,,,
,,,Forest:Deciduous Medium,,Forest:Coniferous Medium,,,Forest:Deciduous Medium->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Coniferous Old,,,Forest:Deciduous Medium->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Coniferous Young,,,Forest:Deciduous Medium->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Deciduous Old,,,Forest:Deciduous Medium->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Deciduous Young,,,Forest:Deciduous Medium->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Mixed Medium,,,Forest:Deciduous Medium->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Mixed Old,,,Forest:Deciduous Medium->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Forest:Mixed Young,,,Forest:Deciduous Medium->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Deciduous Medium,,Urban:All,,,Forest:Deciduous Medium->Urban,1,,,,,,,,
