Iteration,Timestep,StratumID,TransitionGroupID,MaximumArea,RelativeAmount
,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],1000000,1
,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],100000,0
,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],100000,0
,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],100000,0
,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],100000,0
,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],100000,0
,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],100000,0
,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],100000,0
,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],1000000,1
,,,Forest:Coniferous Old->Forest:Mixed Old [Type],100000,0
,,,Forest:Coniferous Old->Forest:Mixed Old [Type],1000000,1
