Iteration,Timestep,StratumID,TransitionGroupID,Priority,MaximizeFidelityToDistribution,MaximizeFidelityToTotalArea
,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],,,Yes
,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Mixed Old [Type],,,Yes
,,,Forest:Coniferous Old->Forest:Mixed Young [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Mixed Old [Type],,,Yes
,,,Forest:Coniferous Young->Forest:Mixed Young [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Mixed Old [Type],,,Yes
,,,Forest:Deciduous Medium->Forest:Mixed Young [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Mixed Old [Type],,,Yes
,,,Forest:Deciduous Old->Forest:Mixed Young [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Mixed Old [Type],,,Yes
,,,Forest:Deciduous Young->Forest:Mixed Young [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Mixed Old [Type],,,Yes
,,,Forest:Mixed Medium->Forest:Mixed Young [Type],,,Yes
,,,Forest:Mixed Old->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Mixed Old->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Mixed Old->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Mixed Old->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Mixed Old->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Mixed Old->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Mixed Old->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Mixed Old->Forest:Mixed Young [Type],,,Yes
,,,Forest:Mixed Young->Forest:Coniferous Medium [Type],,,Yes
,,,Forest:Mixed Young->Forest:Coniferous Old [Type],,,Yes
,,,Forest:Mixed Young->Forest:Coniferous Young [Type],,,Yes
,,,Forest:Mixed Young->Forest:Deciduous Medium [Type],,,Yes
,,,Forest:Mixed Young->Forest:Deciduous Old [Type],,,Yes
,,,Forest:Mixed Young->Forest:Deciduous Young [Type],,,Yes
,,,Forest:Mixed Young->Forest:Mixed Medium [Type],,,Yes
,,,Forest:Mixed Young->Forest:Mixed Old [Type],,,Yes
