Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,1990,,Acton,,Agriculture->Urban [Type],6.0345,,,,,
,1990,,Acton,,Forest->Agriculture,93.024,,,,,
,1990,,Acton,,Forest->Urban,9.567,,,,,
,1990,,Acton,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Acton,,Wetland:Forested->Urban [Type],1.467,,,,,
,1990,,Acton,,Wetland:Open->Agriculture [Type],0.036,,,,,
,1990,,Acton,,Wetland:Open->Urban [Type],1.278,,,,,
,1990,,Autres,,Agriculture->Urban [Type],1.206,,,,,
,1990,,Autres,,Forest->Agriculture,1.35,,,,,
,1990,,Autres,,Forest->Urban,2.9835,,,,,
,1990,,Autres,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Autres,,Wetland:Forested->Urban [Type],1.944,,,,,
,1990,,Autres,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Autres,,Wetland:Open->Urban [Type],1.3815,,,,,
,1990,,Beauharnois-Salaberry,,Agriculture->Urban [Type],15.7095,,,,,
,1990,,Beauharnois-Salaberry,,Forest->Agriculture,53.181,,,,,
,1990,,Beauharnois-Salaberry,,Forest->Urban,7.947,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Forested->Urban [Type],5.2245,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Open->Agriculture [Type],0.027,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Open->Urban [Type],1.3905,,,,,
,1990,,Brome-Missisquoi,,Agriculture->Urban [Type],27.3645,,,,,
,1990,,Brome-Missisquoi,,Forest->Agriculture,161.487,,,,,
,1990,,Brome-Missisquoi,,Forest->Urban,54.981,,,,,
,1990,,Brome-Missisquoi,,Wetland:Forested->Agriculture [Type],0.018,,,,,
,1990,,Brome-Missisquoi,,Wetland:Forested->Urban [Type],5.9175,,,,,
,1990,,Brome-Missisquoi,,Wetland:Open->Agriculture [Type],0.027,,,,,
,1990,,Brome-Missisquoi,,Wetland:Open->Urban [Type],4.0995,,,,,
,1990,,La Haute-Yamaska,,Agriculture->Urban [Type],8.055,,,,,
,1990,,La Haute-Yamaska,,Forest->Agriculture,134.712,,,,,
,1990,,La Haute-Yamaska,,Forest->Urban,22.3875,,,,,
,1990,,La Haute-Yamaska,,Wetland:Forested->Agriculture [Type],0.009,,,,,
,1990,,La Haute-Yamaska,,Wetland:Forested->Urban [Type],1.305,,,,,
