Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,1990,,Acton,,Agriculture->Urban [Type],12.069,,,,,
,1990,,Acton,,Forest->Agriculture,93.024,,,,,
,1990,,Acton,,Forest->Urban,19.134,,,,,
,1990,,Acton,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Acton,,Wetland:Forested->Urban [Type],2.934,,,,,
,1990,,Acton,,Wetland:Open->Agriculture [Type],0.036,,,,,
,1990,,Acton,,Wetland:Open->Urban [Type],2.556,,,,,
,1990,,Autres,,Agriculture->Urban [Type],2.412,,,,,
,1990,,Autres,,Forest->Agriculture,1.35,,,,,
,1990,,Autres,,Forest->Urban,5.967,,,,,
,1990,,Autres,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Autres,,Wetland:Forested->Urban [Type],3.888,,,,,
,1990,,Autres,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Autres,,Wetland:Open->Urban [Type],2.763,,,,,
,1990,,Beauharnois-Salaberry,,Agriculture->Urban [Type],31.419,,,,,
,1990,,Beauharnois-Salaberry,,Forest->Agriculture,53.181,,,,,
,1990,,Beauharnois-Salaberry,,Forest->Urban,15.894,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Forested->Urban [Type],10.449,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Open->Agriculture [Type],0.027,,,,,
,1990,,Beauharnois-Salaberry,,Wetland:Open->Urban [Type],2.781,,,,,
,1990,,Brome-Missisquoi,,Agriculture->Urban [Type],54.729,,,,,
,1990,,Brome-Missisquoi,,Forest->Agriculture,161.487,,,,,
,1990,,Brome-Missisquoi,,Forest->Urban,109.962,,,,,
,1990,,Brome-Missisquoi,,Wetland:Forested->Agriculture [Type],0.018,,,,,
,1990,,Brome-Missisquoi,,Wetland:Forested->Urban [Type],11.835,,,,,
,1990,,Brome-Missisquoi,,Wetland:Open->Agriculture [Type],0.027,,,,,
,1990,,Brome-Missisquoi,,Wetland:Open->Urban [Type],8.199,,,,,
,1990,,La Haute-Yamaska,,Agriculture->Urban [Type],16.11,,,,,
,1990,,La Haute-Yamaska,,Forest->Agriculture,134.712,,,,,
,1990,,La Haute-Yamaska,,Forest->Urban,44.775,,,,,
,1990,,La Haute-Yamaska,,Wetland:Forested->Agriculture [Type],0.009,,,,,
,1990,,La Haute-Yamaska,,Wetland:Forested->Urban [Type],2.61,,,,,
,1990,,La Haute-Yamaska,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,La Haute-Yamaska,,Wetland:Open->Urban [Type],5.382,,,,,
,1990,,La Vallee-du-Richelieu,,Agriculture->Urban [Type],38.304,,,,,
,1990,,La Vallee-du-Richelieu,,Forest->Agriculture,44.577,,,,,
,1990,,La Vallee-du-Richelieu,,Forest->Urban,29.106,,,,,
,1990,,La Vallee-du-Richelieu,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,La Vallee-du-Richelieu,,Wetland:Forested->Urban [Type],1.413,,,,,
,1990,,La Vallee-du-Richelieu,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,La Vallee-du-Richelieu,,Wetland:Open->Urban [Type],3.555,,,,,
,1990,,Le Haut-Richelieu,,Agriculture->Urban [Type],34.218,,,,,
,1990,,Le Haut-Richelieu,,Forest->Agriculture,50.193,,,,,
,1990,,Le Haut-Richelieu,,Forest->Urban,13.293,,,,,
,1990,,Le Haut-Richelieu,,Wetland:Forested->Agriculture [Type],0.009,,,,,
,1990,,Le Haut-Richelieu,,Wetland:Forested->Urban [Type],3.861,,,,,
,1990,,Le Haut-Richelieu,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Le Haut-Richelieu,,Wetland:Open->Urban [Type],3.222,,,,,
,1990,,Le Haut-Saint-Laurent,,Agriculture->Urban [Type],14.166,,,,,
,1990,,Le Haut-Saint-Laurent,,Forest->Agriculture,204.354,,,,,
,1990,,Le Haut-Saint-Laurent,,Forest->Urban,5.913,,,,,
,1990,,Le Haut-Saint-Laurent,,Wetland:Forested->Agriculture [Type],0.036,,,,,
,1990,,Le Haut-Saint-Laurent,,Wetland:Forested->Urban [Type],2.799,,,,,
