Name,ID,Color,Legend,Description
Agriculture->Urban,100400,"255,0,0,0",,
Forest:Coniferous Medium->Agriculture,532100,"255,255,128,0",,
Forest:Coniferous Medium->Forest:Coniferous Old,532533,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Coniferous Young,532531,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Deciduous Medium,532512,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Deciduous Old,532513,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Deciduous Young,532511,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Mixed Medium,532522,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Mixed Old,532523,"255,0,128,0",,
Forest:Coniferous Medium->Forest:Mixed Young,532521,"255,0,128,0",,
Forest:Coniferous Medium->Urban,532400,"255,0,0,128",,
Forest:Coniferous Old->Agriculture,533100,"255,255,128,0",,
Forest:Coniferous Old->Forest:Coniferous Medium,533532,"255,0,128,0",,
Forest:Coniferous Old->Forest:Coniferous Young,533531,"255,0,128,0",,
Forest:Coniferous Old->Forest:Deciduous Medium,533512,"255,0,128,0",,
Forest:Coniferous Old->Forest:Deciduous Old,533513,"255,0,128,0",,
Forest:Coniferous Old->Forest:Deciduous Young,533511,"255,0,128,0",,
Forest:Coniferous Old->Forest:Mixed Medium,533522,"255,0,128,0",,
Forest:Coniferous Old->Forest:Mixed Old,533523,"255,0,128,0",,
Forest:Coniferous Old->Forest:Mixed Young,533521,"255,0,128,0",,
Forest:Coniferous Old->Urban,533400,"255,0,0,128",,
Forest:Coniferous Young->Agriculture,531100,"255,255,128,0",,
Forest:Coniferous Young->Forest:Coniferous Medium,531532,"255,0,128,0",,
Forest:Coniferous Young->Forest:Coniferous Old,531533,"255,0,128,0",,
Forest:Coniferous Young->Forest:Deciduous Medium,531512,"255,0,128,0",,
Forest:Coniferous Young->Forest:Deciduous Old,531513,"255,0,128,0",,
Forest:Coniferous Young->Forest:Deciduous Young,531511,"255,0,128,0",,
Forest:Coniferous Young->Forest:Mixed Medium,531522,"255,0,128,0",,
Forest:Coniferous Young->Forest:Mixed Old,531523,"255,0,128,0",,
Forest:Coniferous Young->Forest:Mixed Young,531521,"255,0,128,0",,
Forest:Coniferous Young->Urban,531400,"255,0,0,128",,
Forest:Deciduous Medium->Agriculture,512100,"255,255,128,0",,
Forest:Deciduous Medium->Forest:Coniferous Medium,512532,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Coniferous Old,512533,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Coniferous Young,512531,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Deciduous Old,512513,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Deciduous Young,512511,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Mixed Medium,512522,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Mixed Old,512523,"255,0,128,0",,
Forest:Deciduous Medium->Forest:Mixed Young,512521,"255,0,128,0",,
Forest:Deciduous Medium->Urban,512400,"255,0,0,128",,
