TransitionTypeID,TransitionGroupID,IsAuto
Agriculture->Urban,Agricultural Expansion and Urbanization,
Forest:Coniferous Medium->Agriculture,Agricultural Expansion and Urbanization,
Forest:Coniferous Medium->Agriculture,Forest->Agriculture,
Forest:Coniferous Medium->Agriculture,Natural Habitat->Agriculture,
Forest:Coniferous Medium->Forest:Coniferous Old,Forest Succession TST,
Forest:Coniferous Medium->Forest:Coniferous Young,Forest Succession TST,
Forest:Coniferous Medium->Forest:Deciduous Medium,Forest Succession TST,
Forest:Coniferous Medium->Forest:Deciduous Old,Forest Succession TST,
Forest:Coniferous Medium->Forest:Deciduous Young,Forest Succession TST,
Forest:Coniferous Medium->Forest:Mixed Medium,Forest Succession TST,
Forest:Coniferous Medium->Forest:Mixed Old,Forest Succession TST,
Forest:Coniferous Medium->Forest:Mixed Young,Forest Succession TST,
Forest:Coniferous Medium->Urban,Agricultural Expansion and Urbanization,
Forest:Coniferous Medium->Urban,Forest->Urban,
Forest:Coniferous Medium->Urban,Natural Habitat->Urban,
Forest:Coniferous Old->Agriculture,Agricultural Expansion and Urbanization,
Forest:Coniferous Old->Agriculture,Forest->Agriculture,
Forest:Coniferous Old->Agriculture,Natural Habitat->Agriculture,
Forest:Coniferous Old->Forest:Coniferous Medium,Forest Succession TST,
Forest:Coniferous Old->Forest:Coniferous Young,Forest Succession TST,
Forest:Coniferous Old->Forest:Deciduous Medium,Forest Succession TST,
Forest:Coniferous Old->Forest:Deciduous Old,Forest Succession TST,
Forest:Coniferous Old->Forest:Deciduous Young,Forest Succession TST,
Forest:Coniferous Old->Forest:Mixed Medium,Forest Succession TST,
Forest:Coniferous Old->Forest:Mixed Old,Forest Succession TST,
Forest:Coniferous Old->Forest:Mixed Young,Forest Succession TST,
Forest:Coniferous Old->Urban,Agricultural Expansion and Urbanization,
Forest:Coniferous Old->Urban,Forest->Urban,
Forest:Coniferous Old->Urban,Natural Habitat->Urban,
Forest:Coniferous Young->Agriculture,Agricultural Expansion and Urbanization,
Forest:Coniferous Young->Agriculture,Forest->Agriculture,
Forest:Coniferous Young->Agriculture,Natural Habitat->Agriculture,
Forest:Coniferous Young->Forest:Coniferous Medium,Forest Succession TST,
Forest:Coniferous Young->Forest:Coniferous Old,Forest Succession TST,
Forest:Coniferous Young->Forest:Deciduous Medium,Forest Succession TST,
Forest:Coniferous Young->Forest:Deciduous Old,Forest Succession TST,
Forest:Coniferous Young->Forest:Deciduous Young,Forest Succession TST,
Forest:Coniferous Young->Forest:Mixed Medium,Forest Succession TST,
Forest:Coniferous Young->Forest:Mixed Old,Forest Succession TST,
Forest:Coniferous Young->Forest:Mixed Young,Forest Succession TST,
Forest:Coniferous Young->Urban,Agricultural Expansion and Urbanization,
Forest:Coniferous Young->Urban,Forest->Urban,
Forest:Coniferous Young->Urban,Natural Habitat->Urban,
Forest:Deciduous Medium->Agriculture,Agricultural Expansion and Urbanization,
Forest:Deciduous Medium->Agriculture,Forest->Agriculture,
Forest:Deciduous Medium->Agriculture,Natural Habitat->Agriculture,
Forest:Deciduous Medium->Forest:Coniferous Medium,Forest Succession TST,
Forest:Deciduous Medium->Forest:Coniferous Old,Forest Succession TST,
Forest:Deciduous Medium->Forest:Coniferous Young,Forest Succession TST,
Forest:Deciduous Medium->Forest:Deciduous Old,Forest Succession TST,
Forest:Deciduous Medium->Forest:Deciduous Young,Forest Succession TST,
Forest:Deciduous Medium->Forest:Mixed Medium,Forest Succession TST,
Forest:Deciduous Medium->Forest:Mixed Old,Forest Succession TST,
Forest:Deciduous Medium->Forest:Mixed Young,Forest Succession TST,
Forest:Deciduous Medium->Urban,Agricultural Expansion and Urbanization,
Forest:Deciduous Medium->Urban,Forest->Urban,
Forest:Deciduous Medium->Urban,Natural Habitat->Urban,
Forest:Deciduous Old->Agriculture,Agricultural Expansion and Urbanization,
Forest:Deciduous Old->Agriculture,Forest->Agriculture,
Forest:Deciduous Old->Agriculture,Natural Habitat->Agriculture,
Forest:Deciduous Old->Forest:Coniferous Medium,Forest Succession TST,
Forest:Deciduous Old->Forest:Coniferous Old,Forest Succession TST,
Forest:Deciduous Old->Forest:Coniferous Young,Forest Succession TST,
Forest:Deciduous Old->Forest:Deciduous Medium,Forest Succession TST,
Forest:Deciduous Old->Forest:Deciduous Young,Forest Succession TST,
Forest:Deciduous Old->Forest:Mixed Medium,Forest Succession TST,
